dname,DT,GNB,KNN,LGBM,MLP,RBF-SVM,RF,XGB
time_rus,0.44,0.12,1.02,18.54,6.96,88.19,11.08,52.77
time_raw,1.37,0.38,17.59,22.14,30.35,190.49,34.22,139.41
time_ros,2.07,0.66,51.46,34.29,85.25,409.24,58.03,315.47
