class,recall,precision,fpr,f1
WWW,0.993589,0.942927,0.232812,0.967595
MAIL,0.836020,0.791163,0.022270,0.812973
FTP-CONTROL,0.439446,0.742690,0.002275,0.552174
FTP-PASV,0.174101,0.654054,0.003381,0.275000
ATTACK,nan,0.000000,0.000051,nan
P2P,0.589226,0.735294,0.003259,0.654206
DATABASE,0.020339,0.461538,0.000362,0.038961
FTP-DATA,0.973535,0.924596,0.002199,0.948435
MULTIMEDIA,nan,0.000000,0.000102,nan
SERVICES,0.991736,0.975610,0.000154,0.983607
INTERACTIVE,0.000000,nan,0.000000,nan
