class,recall,precision,fpr,f1
WWW,0.997051,0.974984,0.099032,0.985894
MAIL,0.892718,0.896205,0.010434,0.894458
FTP-CONTROL,0.965398,0.965398,0.000517,0.965398
FTP-PASV,0.968345,0.989706,0.000370,0.978909
ATTACK,nan,0.000000,0.000051,nan
P2P,0.744108,0.756849,0.003673,0.750424
DATABASE,0.491525,0.993151,0.000052,0.657596
FTP-DATA,0.616257,0.936782,0.001152,0.743444
MULTIMEDIA,nan,0.000000,0.000102,nan
SERVICES,1.000000,0.983740,0.000103,0.991803
INTERACTIVE,0.750000,1.000000,0.000000,0.857143
