class,recall,precision,fpr,f1
WWW,0.987241,0.912474,0.366592,0.948386
MAIL,0.834352,0.741967,0.029281,0.785453
FTP-CONTROL,0.024221,0.437500,0.000465,0.045902
FTP-PASV,0.000000,0.000000,0.004860,nan
ATTACK,nan,0.000000,0.003669,nan
P2P,0.000000,0.000000,0.004708,nan
DATABASE,0.000000,0.000000,0.001293,nan
FTP-DATA,0.502836,0.985185,0.000209,0.665832
MULTIMEDIA,nan,nan,0.000000,nan
SERVICES,0.991736,0.754717,0.001999,0.857143
INTERACTIVE,0.250000,0.333333,0.000102,0.285714
