DT,GNB,KNN,LGBM,MLP,RBFSVM,RF,XGB
0.988506,0.765318,0.885526,0.9895889999999999,0.21511599999999997,0.831676,0.9940829999999999,0.988453
0.857143,0.017819,0.5849979999999999,0.892689,0.617581,0.39261,0.8720030000000001,0.881441
0.771617,0.004539,0.5632560000000001,0.805172,0.180807,0.494245,0.8335879999999999,0.647406
0.990605,0.048611,0.948493,0.998107,0.532183,0.9508719999999999,0.99697,0.994337
0.896552,0.045902,0.5521739999999999,0.975524,0.694329,0.013699000000000001,0.965398,0.970332
0.903624,,0.275,0.78866,0.9756819999999999,0.008596,0.978909,0.886126
0.402957,,0.6542060000000001,0.647303,0.037037,,0.750424,0.693182
0.69163,,0.038961,0.652968,0.355748,,0.657596,0.27907
