class,recall,precision,fpr,f1
WWW,0.996345,0.965277,0.138744,0.980565
MAIL,0.828794,0.862348,0.013351,0.845238
FTP-CONTROL,0.868512,0.578341,0.009464,0.694329
FTP-PASV,0.952518,1.000000,0.000000,0.975682
ATTACK,nan,0.000000,0.000051,nan
P2P,0.023569,0.086420,0.003828,0.037037
DATABASE,0.277966,0.493976,0.004345,0.355748
FTP-DATA,0.642722,0.974212,0.000471,0.774487
MULTIMEDIA,nan,0.000000,0.000153,nan
SERVICES,0.669421,0.794118,0.001077,0.726457
INTERACTIVE,0.000000,nan,0.000000,nan
