class,recall,precision,fpr,f1
WWW,0.999423,0.879188,0.531646,0.935458
MAIL,0.774319,0.738992,0.027599,0.756243
FTP-CONTROL,0.006920,0.666667,0.000052,0.013699
FTP-PASV,0.004317,1.000000,0.000000,0.008596
ATTACK,nan,nan,0.000000,nan
P2P,0.000000,0.000000,0.000052,nan
DATABASE,0.000000,nan,0.000000,nan
FTP-DATA,0.007561,1.000000,0.000000,0.015009
MULTIMEDIA,nan,nan,0.000000,nan
SERVICES,0.000000,nan,0.000000,nan
INTERACTIVE,0.000000,nan,0.000000,nan
