class,recall,precision,fpr,f1
WWW,0.994807,0.975910,0.095061,0.985268
MAIL,0.890495,0.853490,0.015426,0.871600
FTP-CONTROL,0.961938,0.978873,0.000310,0.970332
FTP-PASV,0.974101,0.812725,0.008240,0.886126
ATTACK,nan,nan,0.000000,nan
P2P,0.616162,0.792208,0.002483,0.693182
DATABASE,0.162712,0.979592,0.000052,0.279070
FTP-DATA,0.657845,0.940541,0.001152,0.774194
MULTIMEDIA,nan,0.000000,0.000153,nan
SERVICES,0.619835,0.986842,0.000051,0.761421
INTERACTIVE,0.750000,0.750000,0.000051,0.750000
