class,recall,precision,fpr,f1
WWW,0.997756,0.967485,0.129809,0.982387
MAIL,0.886604,0.895564,0.010434,0.891061
FTP-CONTROL,0.965398,0.985866,0.000207,0.975524
FTP-PASV,0.660432,0.978678,0.000528,0.788660
ATTACK,nan,0.000000,0.000153,nan
P2P,0.525253,0.843243,0.001500,0.647303
DATABASE,0.484746,1.000000,0.000000,0.652968
FTP-DATA,0.979206,0.941818,0.001676,0.960148
MULTIMEDIA,nan,0.000000,0.000051,nan
SERVICES,1.000000,0.983740,0.000103,0.991803
INTERACTIVE,0.750000,1.000000,0.000000,0.857143
