class,recall,precision,fpr,f1
WWW,0.989485,0.972832,0.106974,0.981088
MAIL,0.882713,0.848744,0.015875,0.865395
FTP-CONTROL,0.944637,0.853125,0.002431,0.896552
FTP-PASV,0.843165,0.973422,0.000845,0.903624
ATTACK,nan,0.000000,0.001274,nan
P2P,0.367003,0.446721,0.006984,0.402957
DATABASE,0.532203,0.987421,0.000103,0.691630
FTP-DATA,0.595463,0.787500,0.004451,0.678149
MULTIMEDIA,nan,nan,0.000000,nan
SERVICES,0.991736,0.882353,0.000820,0.933852
INTERACTIVE,0.750000,0.600000,0.000102,0.666667
