class,recall,precision,fpr,f1
WWW,0.987690,0.995605,0.016878,0.991632
MAIL,0.860478,0.901048,0.009536,0.880296
FTP-CONTROL,0.975779,0.884013,0.001913,0.927632
FTP-PASV,0.959712,0.803614,0.008610,0.874754
ATTACK,nan,0.000000,0.004688,nan
P2P,0.797980,0.618799,0.007553,0.697059
DATABASE,0.450847,1.000000,0.000000,0.621495
FTP-DATA,0.984877,0.942134,0.001676,0.963031
MULTIMEDIA,nan,0.000000,0.000102,nan
SERVICES,0.975207,0.983333,0.000103,0.979253
INTERACTIVE,0.750000,1.000000,0.000000,0.857143
