Type,Raw,ROS,RUS,SMOTE-T
WWW,0.967485,0.996396,0.990608,0.995605
MAIL,0.8955639999999999,0.9228540000000001,0.897708,0.901048
FTP-CONTROL,0.985866,0.982517,0.986014,0.8840129999999999
FTP-PASV,0.978678,0.804706,0.751645,0.803614
ATTACK,0.0,0.0,0.0,0.0
P2P,0.8432430000000001,0.656425,0.657658,0.618799
DATABASE,1.0,1.0,1.0,1.0
FTP-DATA,0.941818,0.951941,0.675325,0.942134
MULTIMEDIA,0.0,0.0,0.0,0.0
SERVICES,0.98374,0.8962959999999999,0.975806,0.983333
INTERACTIVE,1.0,1.0,1.0,1.0
