class,recall,precision,fpr,f1
WWW,0.994037,0.990608,0.036485,0.992320
MAIL,0.892718,0.897708,0.010265,0.895206
FTP-CONTROL,0.975779,0.986014,0.000207,0.980870
FTP-PASV,0.657554,0.751645,0.007976,0.701458
ATTACK,nan,0.000000,0.002955,nan
P2P,0.737374,0.657658,0.005898,0.695238
DATABASE,0.013559,1.000000,0.000000,0.026756
FTP-DATA,0.982987,0.675325,0.013091,0.800616
MULTIMEDIA,nan,0.000000,0.000051,nan
SERVICES,1.000000,0.975806,0.000154,0.987755
INTERACTIVE,0.500000,1.000000,0.000000,0.666667
