class,recall,precision,fpr,f1
WWW,0.992691,0.996396,0.013899,0.994540
MAIL,0.884380,0.922854,0.007461,0.903207
FTP-CONTROL,0.972318,0.982517,0.000259,0.977391
FTP-PASV,0.984173,0.804706,0.008769,0.885437
ATTACK,nan,0.000000,0.000917,nan
P2P,0.791246,0.656425,0.006363,0.717557
DATABASE,0.555932,1.000000,0.000000,0.714597
FTP-DATA,0.973535,0.951941,0.001361,0.962617
MULTIMEDIA,nan,0.000000,0.000408,nan
SERVICES,1.000000,0.896296,0.000718,0.945312
INTERACTIVE,0.750000,1.000000,0.000000,0.857143
